Tables, Description
Table A3,Network Loss Factors
Table A5,Temperature Factor based on BCA Climate Zone
Table A6,Firmness Factor
Table A26,BCA Climate Zones by postcode
Table HVAC1.1,Baseline AEER for a new air conditioner
Table HVAC1.2,Baseline AEER for a replacement air conditioner
Table HVAC1.3,Residential Minimum TCSPF Requirement
Table HVAC1.4,Minimum AEER Requirement*
Table HVAC2.1,Baseline AEER for a new air conditioner
Table HVAC2.2,Baseline AEER for a replacement air conditioner
Table HVAC2.3,Minimum TCSPF Requirement
Table HVAC2.4,Minimum AEER Requirement*
Lifetime, Lifetime